1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.313547,0.313547,0.313547,0.313547,0.313547,0.316286,0.315417,0.316286,0.316286,0.316286,0.313547,0.313547,0.313547,0.316286,0.316286,0.316286
0.313113,0.313113,0.313113,0.313113,0.313113,0.315848,0.314981,0.315848,0.315848,0.315848,0.313113,0.313113,0.313113,0.315848,0.315848,0.315848
0.312319,0.312319,0.312319,0.312319,0.312319,0.315048,0.314183,0.315048,0.315048,0.315048,0.312319,0.312319,0.312319,0.315048,0.315048,0.315048
0.301813,0.301813,0.301813,0.301813,0.301813,0.30445,0.303613,0.30445,0.30445,0.30445,0.301813,0.301813,0.301813,0.30445,0.30445,0.30445
0.310204,0.310204,0.310204,0.310204,0.310204,0.312914,0.312054,0.312914,0.312914,0.312914,0.310204,0.310204,0.310204,0.312914,0.312914,0.312914
0.314947,0.314947,0.314947,0.314947,0.314947,0.317698,0.316826,0.317698,0.317698,0.317698,0.314947,0.314947,0.314947,0.317698,0.317698,0.317698
0.315338,0.315338,0.315338,0.315338,0.315338,0.318093,0.317219,0.318093,0.318093,0.318093,0.315338,0.315338,0.315338,0.318093,0.318093,0.318093
0.315158,0.315158,0.315158,0.315158,0.315158,0.317911,0.317038,0.317911,0.317911,0.317911,0.315158,0.315158,0.315158,0.317911,0.317911,0.317911
0.30846,0.30846,0.30846,0.30846,0.30846,0.311155,0.3103,0.311155,0.311155,0.311155,0.30846,0.30846,0.30846,0.311155,0.311155,0.311155
0.257945,0.257945,0.257945,0.257945,0.257945,0.260198,0.259484,0.260198,0.260198,0.260198,0.257945,0.257945,0.257945,0.260198,0.260198,0.260198
0.238627,0.238627,0.238627,0.238627,0.238627,0.240712,0.240051,0.240712,0.240712,0.240712,0.238627,0.238627,0.238627,0.240712,0.240712,0.240712
0.230083,0.230083,0.230083,0.230083,0.230083,0.232093,0.231455,0.232093,0.232093,0.232093,0.230083,0.230083,0.230083,0.232093,0.232093,0.232093
0.21048,0.21048,0.21048,0.21048,0.21048,0.212319,0.211736,0.212319,0.212319,0.212319,0.21048,0.21048,0.21048,0.212319,0.212319,0.212319
0.220665,0.220665,0.220665,0.220665,0.220665,0.222593,0.221981,0.222593,0.222593,0.222593,0.220665,0.220665,0.220665,0.222593,0.222593,0.222593
0.213412,0.213412,0.213412,0.213412,0.213412,0.215277,0.214685,0.215277,0.215277,0.215277,0.213412,0.213412,0.213412,0.215277,0.215277,0.215277
0.246672,0.246672,0.246672,0.246672,0.246672,0.248827,0.248144,0.248827,0.248827,0.248827,0.246672,0.246672,0.246672,0.248827,0.248827,0.248827
0.317756,0.317756,0.317756,0.317756,0.317756,0.320532,0.319651,0.320532,0.320532,0.320532,0.317756,0.317756,0.317756,0.320532,0.320532,0.320532
0.319386,0.319386,0.319386,0.319386,0.319386,0.322176,0.321291,0.322176,0.322176,0.322176,0.319386,0.319386,0.319386,0.322176,0.322176,0.322176
0.319371,0.319371,0.319371,0.319371,0.319371,0.322161,0.321276,0.322161,0.322161,0.322161,0.319371,0.319371,0.319371,0.322161,0.322161,0.322161
0.319304,0.319304,0.319304,0.319304,0.319304,0.322093,0.321209,0.322093,0.322093,0.322093,0.319304,0.319304,0.319304,0.322093,0.322093,0.322093
0.319144,0.319144,0.319144,0.319144,0.319144,0.321932,0.321047,0.321932,0.321932,0.321932,0.319144,0.319144,0.319144,0.321932,0.321932,0.321932
0.314621,0.314621,0.314621,0.314621,0.314621,0.31737,0.316498,0.31737,0.31737,0.31737,0.314621,0.314621,0.314621,0.31737,0.31737,0.31737
